run,round,mode,f1,recall,fpr
flgl_k2,12,gossip,87.6333,78.0071,0.0017
flgl_k2,13,gossip,87.6333,78.0071,0.0017
flgl_k2,14,gossip,87.6333,78.0071,0.0017
flgl_k2,15,gossip,87.6333,78.0071,0.0017
flgl_k2,16,gossip,87.6333,78.0071,0.0017
flgl_k2,17,gossip,87.6333,78.0071,0.0017
flgl_k2,18,gossip,87.6333,78.0071,0.0017
flgl_k2,19,gossip,87.6333,78.0071,0.0017
flgl_k2,20,gossip,87.6333,78.0071,0.0017
flgl_k2,21,gossip,87.6333,78.0071,0.0017
flgl_k2,22,gossip,87.6333,78.0071,0.0017
flgl_k2,23,gossip,87.6333,78.0071,0.0017
flgl_k2,24,gossip,87.6333,78.0071,0.0017
flgl_k2,25,gossip,87.6333,78.0071,0.0017
flgl_k2,26,gossip,87.6333,78.0071,0.0017
flgl_k2,27,gossip,87.6333,78.0071,0.0017
flgl_k2,28,gossip,87.6333,78.0071,0.0017
flgl_k2,29,gossip,87.6333,78.0071,0.0017
flgl_k2,30,gossip,87.6333,78.0071,0.0017
flgl_k2,31,gossip,87.6333,78.0071,0.0017
flgl_k2,32,gossip,87.6333,78.0071,0.0017
flgl_k2,33,gossip,87.6333,78.0071,0.0017
flgl_k2,34,gossip,87.6333,78.0071,0.0017
flgl_k2,35,gossip,87.6333,78.0071,0.0017
flgl_k2,36,gossip,87.6333,78.0071,0.0017
flgl_k2,37,gossip,87.6333,78.0071,0.0017
flgl_k2,38,gossip,87.6333,78.0071,0.0017
flgl_k2,39,gossip,87.6333,78.0071,0.0017
flgl_k2,40,gossip,87.6333,78.0071,0.0017
flgl_k2,41,gossip,87.6333,78.0071,0.0017
flgl_k2,42,gossip,87.6333,78.0071,0.0017
flgl_k2,43,gossip,87.6333,78.0071,0.0017
flgl_k2,44,gossip,87.6333,78.0071,0.0017
flgl_k2,45,gossip,87.6333,78.0071,0.0017
flgl_k2,46,gossip,87.6333,78.0071,0.0017
flgl_k2,47,gossip,87.6333,78.0071,0.0017
flgl_k2,48,gossip,87.6333,78.0071,0.0017
flgl_k2,49,gossip,87.6333,78.0071,0.0017
flgl_k2,50,gossip,87.6333,78.0071,0.0017
flgl_k2,51,gossip,87.6333,78.0071,0.0017
flgl_k2,52,gossip,87.6333,78.0071,0.0017
flgl_k2,53,gossip,87.6333,78.0071,0.0017
